"key","RU","EN"
"RU","Русский","Russian"
"EN","Английский","English"
"suppliers","Поставщики","Suppliers"
"restaurants","Рестораны","Restaurants"
"sign_in","Войти","Sign in"
"welcome_text_suppliers","ARDO – это торговая площадка для излишков еды и напитков.","ARDO is marketplace for F&B surplus"
"welcome_text_restaurants","Лучшая еда по сниженной цене","Best food for discounted price"
"welcome_sub_text","Отправьте запрос и наша команда добавит вас на платформу","Send your request and our team will add you to the platform"
"get_started","Начать","Get started"
"ardo_in_numbers","ARDO в цифрах","ARDO in numbers"
"food_waste_in_numbers","Пищевые отходы в цифрах","Food-waste in numbers"
"statistics","Статистика","Statistics"
"supplier_losses_on_surplus_per_year","Потери поставщиков на излишках еды в год","Supplier losses on surplus per year"
"supplier_losses_on_surplus_weekly","Потери поставщиков на излишках еды еженедельно","Supplier losses on surplus weekly"
"of_food_is_lost_but_can_be_turned_into_profit","Еды теряется, но может быть превращено в прибыль","Of food is lost but can be turned into profit"
"discounts_on_products_every_day","Скидки на продукты каждый день","Discounts on products every day"
"reduce_order_creating_time_by_2_times","Сократите время создания заказа в 2 раза","Reduce order creating time by 2 times"
"get_started_in_no_time","Начните в любое время","Get started in no time"
"what_business_gets_from_it","Что бизнес получает от этого","What business gets from it"
"what_restaurants_get_from_it","Что рестораны получают от этого","What restaurants get from it"
"profit_and_new_customers","Прибыль и новые клиенты","Profit & new customers"
"discount_and_optimisation","Скидки и оптимизация","Discount & optimisation"
"profitability","Прибыльность","Profitability"
"profitability_description","Увеличьте свою ликвидность, продав своим владельцам магазинов и избежав дополнительных затрат на утилизацию или хранение. Сократите ежемесячные расходы в среднем на 12 %.","Increase your liquidity by selling its shopkeepers and avoiding additional disposal or storage costs. Reduce your monthly costs by 12% on average."
"data_proven_pricing_strategies","Доказанные стратегии ценообразования","Data-proven pricing strategies"
"data_proven_pricing_strategies_description","Наши алгоритмы искусственного интеллекта автоматически генерируют лучшие цены на ваши товары, представленные на распродаже. Вы просто загружаете товары, а мы позаботимся обо всем остальном!","Our AI algorithms automatically generates the best prices for your on-sale items. You simply upload the items, we take care of the rest!"
"risk_free_payment_guarantee","Гарантия безопасной оплаты","Risk-free payment guarantee"
"risk_free_payment_guarantee_description","Получайте счета, оплаченные до отгрузки. Хватит гоняться за своими платежами! Ноль хлопот, нулевой риск с ARDO","Receive invoices settled prior to shipment. Stop chasing your payments! Zero Hassle, Zero Risk with ARDO"
"grow_your_customer_base","Расширьте свою клиентскую базу","Grow your customer base"
"grow_your_customer_base__description","Тратьте меньше времени на продвижение своего продукта, генерируйте бесплатных потенциальных клиентов, сокращайте время обработки заказов и открывайте двери десятков ресторанов в ARDO.","Spend less time promoting your product, generate free leads, reduce order-processing time, and open your doors to dozens of restaurants at ARDO"
"reduce_your_food_costs","Снизьте свои затраты на продукты","Reduce your food costs"
"reduce_your_food_costs_description","Экономьте до 50% на товарах со скидкой в ARDO. Наши алгоритмы искусственного интеллекта каждый день предоставляют вам лучшие цены!","Save up to 50% on discounted items from ARDO. Our AI algorithms deliver the best prices to you every day!"
"grow_your_suppliers_network","Расширьте свою сеть поставщиков","Grow your suppliers network"
"grow_your_suppliers_network_description","Пробное и налаживание контактов с ведущими поставщиками продуктов питания в Гонконге. Будьте первым, кто попробует товары по низкой цене.","Trial & bridge contact with top food suppliers in HK. Be the first one to try products at low cost."
"cashflow_and_rebate","Поток денежных средств и вознаграждение","Cashflow & Rebate"
"cashflow_and_rebate_description","Различные варианты оплаты, включая кредитную карту, FPS, Alipay. Увеличьте денежный поток вашего ресторана! Получайте скидки и баллы лояльности при каждой покупке!","Variety of payment options including credit card, FPS, Alipay. Boost your restaurant cashflow! Earn rebates & loyalty credits with every purchase!"
"save_time","Экономьте время","Save time"
"save_time_description","Все, что вам нужно, всего за 3 нажатия! Тратьте в 2,4 раза меньше времени на управление цепочками поставок и перенаправляйте персонал на более важные задачи!","Whatever you need in just 3 taps! Spend 2.4 times less time on supply chain management and redirect the manpower for more important duties!"
"anytime_anywhere","В любое время и в любом месте","Anytime. Anywhere."
"anytime_anywhere_description","Больше контроля, меньше борьбы для вас! Легко отслеживайте свой заказ в нашем приложении, получайте квитанции, получайте уведомления по SMS и электронной почте, проверяйте время доставки и статус заказа.","More control, less struggles for you! Easily track your order in our App, collect the receipt, receive notifications through SMS and email, check delivery time and order status."
"customer_support","Поддержка клиентов","Customer support"
"customer_support_description","Мы всегда рядом с вами! Наши специалисты ответят на все Ваши вопросы. Быстрые возвраты средств, бесплатные скидки и многое другое...","We are always there for you! Our specialists will take care of all the questions you might have. Quick refunds, complimentary discounts, and more..."
"step_by_step_guide","Пошаговое руководство","Step-by-step guide"
"fill_the_form","Заполните форму","Fill the form"
"start_ordering","Начать заказывать","Start ordering"
"step_1_fill","Шаг 1: Заполните","Step 1: Fill"
"step_1_fill_description","Заполните форму и отправьте запрос на присоединение к ARDO","Fill the form and send a request to join ARDO"
"step_2_upload","Шаг 2: Загрузите","Step 2: Upload"
"step_2_upload_description","Загрузите свои товары и предложения на платформу","Upload your items and offers to the platform"
"step_1_pick","Шаг 1: Выберите","Step 1: Pick"
"step_1_pick_description","Выберите товары и добавьте их в корзину","Pick items and add them to the cart"
"step_2_confirm","Шаг 2: Подтвердите","Step 2: Confirm"
"step_2_confirm_description","Подтвердите заказ и выберите способ оплаты","Confirm the order and choose the payment method"
"step_3_receive","Шаг 3: Получите","Step 3: Receive"
"step_3_receive_description_suppliers","Начните получать заказы с нашей платформы","Start receiving orders from our platform"
"step_3_receive_description_restaurants","Получите заказ без лишних хлопот","Receive the order without any hassle"
"all_rights_reserved","Все права защищены","All rights reserved"
"contact_us","Связаться с нами","Contact us"
"all_rights_reserved","Все права защищены","All rights reserved"
"email","Электронная почта","Email"
"phone","Телефон","Phone"
"fill_form","Заполните форму","Fill the form"
"submit","Отправить","Submit"
"cancel","Отмена","Cancel"
"firstName","Имя","First name"
"lastName","Фамилия","Last name"
"businessName","Название компании","Business name"
"please_enter_first_name","Пожалуйста, введите ваше имя","Please enter your first name"
"enter_first_name","Введите ваше имя","Enter your first name"
"please_enter_last_name","Пожалуйста, введите вашу фамилию","Please enter your last name"
