"key","RU","EN","ZH"
"RU","Русский","Russian","俄文"
"EN","Английский","English","英語"
"ZH","Китайский","Chinese","中文"
"suppliers","Поставщики","Suppliers","供應商"
"restaurants","Рестораны","Restaurants","餐廳"
"sign_in","Войти","Sign in","登入"
"welcome_text_suppliers","ARDO – это торговая площадка для излишков еды и напитков.","ARDO is marketplace for F&B surplus","ARDO是一個予供應商促銷過剩食材嘅平台"
"welcome_text_restaurants","Лучшая еда по сниженной цене","Best food for discounted price","以折扣價格採購優質食材"
"welcome_sub_text","Отправьте запрос и наша команда добавит вас на платформу","Send your request and our team will add you to the platform","請發送您的請求，我們的團隊會
立即與你聯繫"
"get_started","Начать","Get started","開始使用"
"ardo_in_numbers","ARDO в цифрах","ARDO in numbers","食物浪費的數字统计"
"food_waste_in_numbers","Пищевые отходы в цифрах","Food-waste in numbers","食物浪費的數字"
"statistics","Статистика","Statistics","統計數據"
"advantage_supplier_1","Потери поставщиков на излишках еды в год","Suppliers lose on surplus per year","香港食材供應商每年因過剩食材而產生的總損失"
"advantage_supplier_2","Выручка поставщика от продажи со скидкой излишков продуктов питания в год","Supplier’s revenue from discounted sale of surplus food per year","現時供應商平均從過剩食材促銷中獲得的僅餘年收入"
"advantage_supplier_3","Поставщики сбрасывают излишки продуктов питания, которые можно превратить в прибыль.","Of suppliers discard their food surplus which can be turned into profit","的過剩食材需要被傾倒"
"advantage_restaurant_1","Скидка на качественные деликатесы каждый день","Discount on high-quality gourmet items every day","高品質食材的折扣"
"advantage_restaurant_2","Сократите время создания заказа в 2 раза","Certified suppliers on a platform ","在平台上的優質、認可本地供應商"
"advantage_restaurant_3","Начните в любое время","Increase the contribution margin per dish","增加每道菜品的利潤"
"what_business_gets_from_it","Что бизнес получает от этого","What business gets from it","供應商從中可以獲得什麼業務益處"
"what_restaurants_get_from_it","Что рестораны получают от этого","What restaurants get from it","餐廳可以從中獲得什麼好處"
"profit_and_new_customers","Прибыль и новые клиенты","Profit & new customers","獲得的業務益處包括利潤和新客戶"
"discount_and_optimisation","Скидки и оптимизация","Discount & optimisation","折扣和優化"
"profitability","Прибыльность","Profitability","提高盈利能力"
